Rank,GCCSA/SUA,State/Territory,June,2011,Growth,"Percentage of
national population (June 2017)"
1,Sydney,New South Wales,5131326.00 ,4391674.00 ,0.17 ,0.21 
2,Melbourne,Victoria,4850740.00 ,3999982.00 ,0.21 ,0.20 
3,Brisbane,Queensland,2408223.00 ,2065996.00 ,0.17 ,0.10 
4,Perth,Western Australia,2043138.00 ,1728867.00 ,0.18 ,0.08 
5,Adelaide,South Australia,1333927.00 ,1262940.00 ,0.06 ,0.05 
6,Gold Coast每Tweed Heads,Queensland/New South Wales,663321.00 ,557822.00 ,0.19 ,0.03 
7,Newcastle每Maitland,New South Wales,481183.00 ,398770.00 ,0.21 ,0.02 
8,Canberra每Queanbeyan,Australian Capital Territory/New South Wales,447457.00 ,391645.00 ,0.14 ,0.02 
9,Sunshine Coast,Queensland,325399.00 ,270770.00 ,0.20 ,0.01 
10,Wollongong,New South Wales,299203.00 ,268944.00 ,0.11 ,0.01 
11,Geelong,Victoria,260138.00 ,173454.00 ,0.50 ,0.01 
12,Hobart,Tasmania,226884.00 ,211656.00 ,0.07 ,0.01 
13,Townsville,Queensland,180346.00 ,162292.00 ,0.11 ,0.01 
14,Cairns,Queensland,151925.00 ,133911.00 ,0.13 ,0.01 
15,Darwin,Northern Territory,146612.00 ,120586.00 ,0.22 ,0.01 
16,Toowoomba,Queensland,135631.00 ,105984.00 ,0.28 ,0.01 
17,Ballarat,Victoria,103481.00 ,91801.00 ,0.13 ,0.00 
18,Bendigo,Victoria,97096.00 ,86079.00 ,0.13 ,0.00 
19,Albury每Wodonga,New South Wales/Victoria,91923.00 ,82083.00 ,0.12 ,0.00 
20,Launceston,Tasmania,86788.00 ,82220.00 ,0.06 ,0.00 
21,Mackay,Queensland,80427.00 ,77293.00 ,0.04 ,0.00 
22,Rockhampton,Queensland,78871.00 ,73681.00 ,0.07 ,0.00 
23,Bunbury,Western Australia,74478.00 ,65608.00 ,0.14 ,0.00 
24,Coffs Harbour,New South Wales,70857.00 ,64243.00 ,0.10 ,0.00 
25,Bundaberg,Queensland,70578.00 ,67341.00 ,0.05 ,0.00 
26,Wagga Wagga,New South Wales,56181.00 ,52042.00 ,8.00 ,0.00 
27,Hervey Bay,Queensland,53492.00 ,48680.00 ,0.10 ,0.00 
28,Mildura每Wentworth,Victoria/New South Wales,51473.00 ,47536.00 ,0.08 ,0.00 
29,Shepparton每Mooroopna,Victoria,51142.00 ,46505.00 ,9.97 ,0.00 
30,Port Macquarie,New South Wales,46948.00 ,41723.00 ,0.13 ,0.00 
31,Gladstone每Tannum Sands,Queensland,44984.00 ,41966.00 ,0.07 ,0.00 
32,Tamworth,New South Wales,42347.00 ,38735.00 ,0.09 ,0.00 
33,Traralgon每Morwell,Victoria,41626.00 ,39705.00 ,0.05 ,0.00 
34,Orange,New South Wales,40079.00 ,36468.00 ,0.10 ,0.00 
35,Bowral每Mittagong,New South Wales,39300.00 ,34858.00 ,0.13 ,0.00 
36,Busselton,Western Australia,38289.00 ,30286.00 ,0.26 ,0.00 
37,Geraldton,Western Australia,37931.00 ,35749.00 ,0.06 ,0.00 
38,Dubbo,New South Wales,37666.00 ,33997.00 ,0.11 ,0.00 
39,Nowra每Bomaderry,New South Wales,37027.00 ,33338.00 ,0.11 ,0.00 
40,Warragul每Drouin,Victoria,36538.00 ,29944.00 ,0.22 ,0.00 
41,Bathurst,New South Wales,36448.00 ,32479.00 ,0.12 ,0.00 
42,Warrnambool,Victoria,34912.00 ,32380.00 ,0.08 ,0.00 
43,Albany,Western Australia,34151.00 ,30656.00 ,0.11 ,0.00 
44,Kalgoorlie每Boulder,Western Australia,30541.00 ,30842.00 ,(0.01),0.00 
45,Devonport,Tasmania,30153.00 ,29051.00 ,0.04 ,0.00 
46,Mount Gambier,South Australia,29472.00 ,27756.00 ,0.06 ,0.00 
47,Lismore,New South Wales,28764.00 ,28285.00 ,0.02 ,0.00 
48,Nelson Bay,New South Wales,27606.00 ,25074.00 ,0.10 ,0.00 
49,Maryborough,Queensland,27347.00 ,26214.00 ,0.04 ,0.00 
50,Burnie每Wynyard,Tasmania,26993.00 ,26869.00 ,0.00 ,0.00 
51,Alice Springs,Northern Territory,26674.00 ,25186.00 ,0.06 ,0.00 
52,Victor Harbor每Goolwa,South Australia,26358.00 ,23850.00 ,0.11 ,0.00 
53,Taree,New South Wales,26314.00 ,25421.00 ,0.04 ,0.00 
54,Ballina,New South Wales,25656.00 ,23509.00 ,0.09 ,0.00 
55,Morisset每Cooranbong,New South Wales,24694.00 ,21774.00 ,0.13 ,0.00 
56,Armidale,New South Wales,24326.00 ,22464.00 ,0.08 ,0.00 
57,Goulburn,New South Wales,23588.00 ,21484.00 ,0.10 ,0.00 
59,Gympie,Queensland,21501.00 ,19510.00 ,0.10 ,0.00 
60,Forster每Tuncurry,New South Wales,21020.00 ,19500.00 ,0.08 ,0.00 
61,Echuca每Moama,Victoria,20851.00 ,19309.00 ,0.08 ,0.00 
62,Griffith,New South Wales,19972.00 ,17900.00 ,0.12 ,0.00 
63,Grafton,New South Wales,19089.00 ,18359.00 ,0.04 ,0.00 
64,Wangaratta,Victoria,19067.00 ,17686.00 ,0.08 ,0.00 
65,St Georges Basin每Sanctuary Point,New South Wales,18770.00 ,12611.00 ,0.49 ,0.00 
66,Yeppoon,Queensland,18764.00 ,16372.00 ,0.15 ,0.00 
68,Murray Bridge,South Australia,18382.00 ,16708.00 ,0.10 ,0.00 
70,Camden Haven,New South Wales,17343.00 ,15741.00 ,0.10 ,0.00 
71,Moe每Newborough,Victoria,16726.00 ,16674.00 ,0.00 ,0.00 
72,Karratha,Western Australia,16477.00 ,16476.00 ,0.00 ,0.00 
73,Singleton,New South Wales,16461.00 ,16135.00 ,0.02 ,0.00 
74,Batemans Bay,New South Wales,16452.00 ,15733.00 ,0.05 ,0.00 
75,Horsham,Victoria,16426.00 ,15894.00 ,0.03 ,0.00 
76,Port Lincoln,South Australia,16342.00 ,15221.00 ,0.07 ,0.00 
77,Ulladulla,New South Wales,15890.00 ,14149.00 ,0.12 ,0.00 
78,Warwick,Queensland,15328.00 ,14607.00 ,0.05 ,0.00 
79,Kempsey,New South Wales,15190.00 ,14494.00 ,0.05 ,0.00 
80,Bairnsdale,Victoria,15155.00 ,13243.00 ,0.14 ,0.00 
